CcnId,Hsi
310060,HSI00000936
314011,HSI00001154
310052,HSI00000439
310017,HSI00000060
310010,HSI00000820
310024,HSI00000863
310034,HSI00000439
310012,HSI00001218
314021,HSI00001148
310091,HSI00000249
310047,HSI00000820
310048,HSI00000863
310086,HSI00000048
314001,HSI00001148
310051,HSI00000060
310041,HSI00000863
310044,HSI00000164
310021,HSI00001106
310110,HSI00000863
310092,HSI00000164
310022,HSI00001233
313300,HSI00000863
310130,HSI00000046
310081,HSI00000514
394039,HSI00000249
390231,HSI00000048
390133,HSI00000577
394043,HSI00001148
390066,HSI00001243
390226,HSI00000820
390091,HSI00001126
390178,HSI00001126
390137,HSI00000249
390164,HSI00001126
390263,HSI00000577
390067,HSI00001126
390197,HSI00000936
390050,HSI00000025
390174,HSI00000048
390049,HSI00000936
390096,HSI00000821
390110,HSI00000584
390115,HSI00000048
394034,HSI00001148
390073,HSI00001126
390036,HSI00000476
390268,HSI00000710
390072,HSI00000249
390003,HSI00000388
390118,HSI00000537
390070,HSI00000845
391312,HSI00000819
390139,HSI00000608
390168,HSI00000146
394051,HSI00001126
393054,HSI00000820
390316,HSI00001066
394050,HSI00001148
390004,HSI00000388
390160,HSI00000025
390058,HSI00001126
390151,HSI00001045
390180,HSI00000851
390052,HSI00000819
390183,HSI00000936
390326,HSI00000936
390076,HSI00000866
391308,HSI00000686
390329,HSI00000020
390328,HSI00001126
391313,HSI00001126
390006,HSI00000388
390330,HSI00000936
390156,HSI00001106
000000,HSI00000866
390203,HSI00000320
390081,HSI00000851
390086,HSI00000819
390162,HSI00001037
390201,HSI00000577
390256,HSI00000821
390225,HSI00001243
390063,HSI00001126
390009,HSI00000025
390198,HSI00000686
390117,HSI00001126
390065,HSI00001243
390145,HSI00000354
390233,HSI00001126
390185,HSI00000577
390265,HSI00000025
390056,HSI00001126
390173,HSI00001324
391300,HSI00000388
390104,HSI00001126
390163,HSI00000051
390100,HSI00000820
390258,HSI00001106
390061,HSI00001126
390012,HSI00000048
390219,HSI00000354
394020,HSI00001243
390194,HSI00000936
390013,HSI00000352
390048,HSI00000388
390071,HSI00001126
390002,HSI00001126
390113,HSI00000639
390097,HSI00000488
390222,HSI00000608
390192,HSI00000249
391305,HSI00000430
391302,HSI00000584
390217,HSI00000354
391301,HSI00001126
390016,HSI00001126
394040,HSI00001148
390116,HSI00000845
390142,HSI00000020
390196,HSI00001065
390026,HSI00000866
393303,HSI00001075
394027,HSI00001148
394008,HSI00001148
390290,HSI00001278
390111,HSI00000820
390080,HSI00001065
390195,HSI00000608
393038,HSI00000048
390304,HSI00000845
390204,HSI00001106
390223,HSI00000820
393307,HSI00001278
393309,HSI00000981
390027,HSI00001065
394049,HSI00001148
390127,HSI00000866
393302,HSI00001126
390114,HSI00001126
390028,HSI00001126
390107,HSI00001126
390267,HSI00000025
390228,HSI00000913
390102,HSI00001126
390090,HSI00000025
390270,HSI00000388
390123,HSI00000866
390031,HSI00000577
390030,HSI00000577
390035,HSI00000936
390062,HSI00000584
391315,HSI00000819
390079,HSI00000430
390001,HSI00000388
390237,HSI00000249
390119,HSI00000249
390057,HSI00000415
390037,HSI00000476
390211,HSI00001037
390130,HSI00000584
390084,HSI00001126
390032,HSI00000025
391314,HSI00000639
390236,HSI00000430
390146,HSI00001126
390042,HSI00001238
390138,HSI00001045
390150,HSI00001238
390043,HSI00001126
390179,HSI00000820
390153,HSI00000608
390220,HSI00000866
390044,HSI00000866
394048,HSI00001126
390045,HSI00001126
390101,HSI00001126
390046,HSI00001243
394038,HSI00001148
390068,HSI00001126
393025,HSI00000608
080004,HSI00000094
084004,HSI00001148
080007,HSI00000103
080006,HSI00000718
083300,HSI00000725
080001,HSI00000218
080003,HSI00001106
084002,HSI00001148
210061,HSI00000059
213029,HSI00000012
210023,HSI00000038
210029,HSI00000531
210013,HSI00000125
210015,HSI00000640
210044,HSI00000422
210056,HSI00000640
213300,HSI00001175
210058,HSI00001175
210009,HSI00000531
210064,HSI00000582
210038,HSI00001175
210027,HSI00001255
210008,HSI00000663
210011,HSI00000055
210063,HSI00001175
210012,HSI00000582
210034,HSI00000640
210024,HSI00000640
210002,HSI00001175
210022,HSI00000531
000000,HSI00001175
210065,HSI00001106
210062,HSI00000640
210030,HSI00001175
210048,HSI00000531
210037,HSI00001175
210032,HSI00001136
210049,HSI00001175
210005,HSI00000380
210043,HSI00001175
210001,HSI00000671
210006,HSI00001175
210003,HSI00001175
210035,HSI00001175
210055,HSI00001175
210028,HSI00000640
210018,HSI00000640
210039,HSI00000155
210040,HSI00000582
214013,HSI00000012
210057,HSI00000012
210019,HSI00000818
210004,HSI00001106
210033,HSI00000582
210016,HSI00000012
093300,HSI00000216
090003,HSI00000498
090011,HSI00000640
090004,HSI00000640
090001,HSI00001148
093025,HSI00000640
090006,HSI00000055
090005,HSI00000531
094004,HSI00001148
490018,HSI00000063
000000,HSI00001148
490048,HSI00000492
490112,HSI00000492
490053,HSI00001284
490118,HSI00000492
490021,HSI00000192
491303,HSI00001284
494028,HSI00000624
494025,HSI00001148
490040,HSI00000513
490136,HSI00000125
492007,HSI00000972
490141,HSI00000492
490107,HSI00000492
490122,HSI00000513
490088,HSI00000192
490114,HSI00001284
490077,HSI00000972
490110,HSI00000492
490120,HSI00000205
490126,HSI00000492
490140,HSI00000624
490019,HSI00000773
490075,HSI00000584
492010,HSI00000192
490097,HSI00000249
490090,HSI00000192
490101,HSI00000513
490092,HSI00000249
490022,HSI00000624
490033,HSI00001217
490115,HSI00000584
490093,HSI00000972
490004,HSI00000972
490020,HSI00000492
491300,HSI00000170
491308,HSI00000125
490002,HSI00001284
490043,HSI00000513
491304,HSI00000170
491307,HSI00001217
490143,HSI00000883
490144,HSI00000773
490045,HSI00000773
490038,HSI00001284
490079,HSI00000584
490063,HSI00000513
490037,HSI00000883
490041,HSI00000125
493300,HSI00001148
490052,HSI00000883
490130,HSI00000883
490011,HSI00000125
493301,HSI00000215
490046,HSI00000972
490007,HSI00000972
000000,HSI00001148
490001,HSI00001284
490027,HSI00001284
491302,HSI00000170
494022,HSI00001148
490067,HSI00000249
490017,HSI00000125
490116,HSI00000492
490042,HSI00000170
490060,HSI00000584
493302,HSI00001213
490032,HSI00001213
490094,HSI00000125
490069,HSI00000125
490059,HSI00000125
490024,HSI00000170
490089,HSI00000170
490013,HSI00000972
490098,HSI00001213
490119,HSI00000972
490044,HSI00000972
490084,HSI00000883
490057,HSI00000972
490023,HSI00000584
490117,HSI00000170
490066,HSI00000972
490005,HSI00001217
490113,HSI00000972
491305,HSI00001217
490111,HSI00000584
490009,HSI00001186
494023,HSI00000492
492011,HSI00001186
510070,HSI00000584
510001,HSI00001251
510062,HSI00000041
511309,HSI00001217
510071,HSI00000249
511321,HSI00001251
510022,HSI00000147
510031,HSI00001093
510006,HSI00001251
510047,HSI00000021
510013,HSI00001251
511310,HSI00000041
510055,HSI00000154
514008,HSI00001148
510007,HSI00000154
511315,HSI00001251
511312,HSI00000698
510048,HSI00000584
510008,HSI00001251
510024,HSI00000698
511317,HSI00000249
510058,HSI00001251
511316,HSI00001251
511319,HSI00001251
511311,HSI00001217
510002,HSI00000249
510029,HSI00001093
510038,HSI00000698
510039,HSI00000021
510050,HSI00001259
510077,HSI00000249
511304,HSI00001259
340069,HSI00001236
340091,HSI00000263
340099,HSI00001230
340119,HSI00000173
340070,HSI00000263
340116,HSI00000584
340171,HSI00000773
340002,HSI00000691
341323,HSI00000042
340098,HSI00000173
341324,HSI00001230
340028,HSI00000162
342017,HSI00000691
340183,HSI00000773
342015,HSI00000251
340123,HSI00000173
343025,HSI00000691
340051,HSI00000042
341319,HSI00000691
341305,HSI00000584
340061,HSI00001123
340113,HSI00000173
340166,HSI00000173
340053,HSI00000773
343026,HSI00000173
340024,HSI00000231
340030,HSI00000323
340001,HSI00000173
340071,HSI00000449
340075,HSI00000173
342019,HSI00000251
340155,HSI00000323
341318,HSI00001230
340188,HSI00000162
340109,HSI00000972
341315,HSI00000162
342014,HSI00000162
340023,HSI00000010
341326,HSI00000691
340032,HSI00000171
340153,HSI00000773
340010,HSI00001123
340040,HSI00001230
340132,HSI00000584
340017,HSI00001123
340143,HSI00000182
341316,HSI00000691
340004,HSI00001235
344016,HSI00001148
341325,HSI00000773
340120,HSI00001230
340037,HSI00000173
340027,HSI00001123
340008,HSI00000173
340060,HSI00001123
340041,HSI00001123
340096,HSI00001235
340145,HSI00000173
340050,HSI00000231
340087,HSI00000691
341313,HSI00001235
340130,HSI00000173
340129,HSI00000249
341328,HSI00000203
340131,HSI00000172
340064,HSI00001235
340115,HSI00000365
344014,HSI00001148
340073,HSI00000323
340173,HSI00001236
340114,HSI00001123
340035,HSI00000365
340147,HSI00001123
340159,HSI00000584
340013,HSI00000584
340015,HSI00000773
340158,HSI00000773
340020,HSI00000584
340021,HSI00000173
341311,HSI00001123
340090,HSI00001123
341327,HSI00000231
341320,HSI00001235
341329,HSI00000691
340144,HSI00000249
340039,HSI00000518
340016,HSI00000584
340107,HSI00001230
340085,HSI00000773
341303,HSI00000365
341322,HSI00000173
340084,HSI00000173
340186,HSI00001230
340184,HSI00000323
340068,HSI00000173
340126,HSI00000584
341304,HSI00001230
340014,HSI00000773
340148,HSI00000773
344007,HSI00001148
340047,HSI00001235
342021,HSI00000251
420038,HSI00000424
420082,HSI00001148
420051,HSI00000637
420091,HSI00000249
420055,HSI00000249
422004,HSI00001020
420098,HSI00001096
420101,HSI00001066
422006,HSI00000251
420027,HSI00000173
424002,HSI00001148
420102,HSI00000424
420103,HSI00001020
420104,HSI00000173
420067,HSI00000100
420048,HSI00000584
420004,HSI00000644
420087,HSI00000173
424006,HSI00001148
